VCE ,leafValue( B1_DP1 "mcparamset" 1 ),leafValue( B1_DP1 "mcparamset" 2 ),leafValue( B1_DP1 "mcparamset" 3 ),leafValue( B1_DP1 "mcparamset" 4 ),leafValue( B1_DP1 "mcparamset" 5 ),leafValue( B1_DP1 "mcparamset" 6 ),leafValue( B1_DP1 "mcparamset" 7 ),leafValue( B1_DP1 "mcparamset" 8 ),leafValue( B1_DP1 "mcparamset" 9 ),leafValue( B1_DP1 "mcparamset" 10 ),leafValue( B1_DP1 "mcparamset" 11 ),leafValue( B1_DP1 "mcparamset" 12 ),leafValue( B1_DP1 "mcparamset" 13 ),leafValue( B1_DP1 "mcparamset" 14 ),leafValue( B1_DP1 "mcparamset" 15 ),leafValue( B1_DP1 "mcparamset" 16 ),leafValue( B1_DP1 "mcparamset" 17 ),leafValue( B1_DP1 "mcparamset" 18 ),leafValue( B1_DP1 "mcparamset" 19 ),leafValue( B1_DP1 "mcparamset" 20 ),leafValue( B2_DP1 "mcparamset" 1 ),leafValue( B2_DP1 "mcparamset" 2 ),leafValue( B2_DP1 "mcparamset" 3 ),leafValue( B2_DP1 "mcparamset" 4 ),leafValue( B2_DP1 "mcparamset" 5 ),leafValue( B2_DP1 "mcparamset" 6 ),leafValue( B2_DP1 "mcparamset" 7 ),leafValue( B2_DP1 "mcparamset" 8 ),leafValue( B2_DP1 "mcparamset" 9 ),leafValue( B2_DP1 "mcparamset" 10 ),leafValue( B2_DP1 "mcparamset" 11 ),leafValue( B2_DP1 "mcparamset" 12 ),leafValue( B2_DP1 "mcparamset" 13 ),leafValue( B2_DP1 "mcparamset" 14 ),leafValue( B2_DP1 "mcparamset" 15 ),leafValue( B2_DP1 "mcparamset" 16 ),leafValue( B2_DP1 "mcparamset" 17 ),leafValue( B2_DP1 "mcparamset" 18 ),leafValue( B2_DP1 "mcparamset" 19 ),leafValue( B2_DP1 "mcparamset" 20 ),leafValue( B1_DP2 "mcparamset" 1 ),leafValue( B1_DP2 "mcparamset" 2 ),leafValue( B1_DP2 "mcparamset" 3 ),leafValue( B1_DP2 "mcparamset" 4 ),leafValue( B1_DP2 "mcparamset" 5 ),leafValue( B1_DP2 "mcparamset" 6 ),leafValue( B1_DP2 "mcparamset" 7 ),leafValue( B1_DP2 "mcparamset" 8 ),leafValue( B1_DP2 "mcparamset" 9 ),leafValue( B1_DP2 "mcparamset" 10 ),leafValue( B1_DP2 "mcparamset" 11 ),leafValue( B1_DP2 "mcparamset" 12 ),leafValue( B1_DP2 "mcparamset" 13 ),leafValue( B1_DP2 "mcparamset" 14 ),leafValue( B1_DP2 "mcparamset" 15 ),leafValue( B1_DP2 "mcparamset" 16 ),leafValue( B1_DP2 "mcparamset" 17 ),leafValue( B1_DP2 "mcparamset" 18 ),leafValue( B1_DP2 "mcparamset" 19 ),leafValue( B1_DP2 "mcparamset" 20 ),leafValue( B2_DP2 "mcparamset" 1 ),leafValue( B2_DP2 "mcparamset" 2 ),leafValue( B2_DP2 "mcparamset" 3 ),leafValue( B2_DP2 "mcparamset" 4 ),leafValue( B2_DP2 "mcparamset" 5 ),leafValue( B2_DP2 "mcparamset" 6 ),leafValue( B2_DP2 "mcparamset" 7 ),leafValue( B2_DP2 "mcparamset" 8 ),leafValue( B2_DP2 "mcparamset" 9 ),leafValue( B2_DP2 "mcparamset" 10 ),leafValue( B2_DP2 "mcparamset" 11 ),leafValue( B2_DP2 "mcparamset" 12 ),leafValue( B2_DP2 "mcparamset" 13 ),leafValue( B2_DP2 "mcparamset" 14 ),leafValue( B2_DP2 "mcparamset" 15 ),leafValue( B2_DP2 "mcparamset" 16 ),leafValue( B2_DP2 "mcparamset" 17 ),leafValue( B2_DP2 "mcparamset" 18 ),leafValue( B2_DP2 "mcparamset" 19 ),leafValue( B2_DP2 "mcparamset" 20 ),leafValue( B1_DP3 "mcparamset" 1 ),leafValue( B1_DP3 "mcparamset" 2 ),leafValue( B1_DP3 "mcparamset" 3 ),leafValue( B1_DP3 "mcparamset" 4 ),leafValue( B1_DP3 "mcparamset" 5 ),leafValue( B1_DP3 "mcparamset" 6 ),leafValue( B1_DP3 "mcparamset" 7 ),leafValue( B1_DP3 "mcparamset" 8 ),leafValue( B1_DP3 "mcparamset" 9 ),leafValue( B1_DP3 "mcparamset" 10 ),leafValue( B1_DP3 "mcparamset" 11 ),leafValue( B1_DP3 "mcparamset" 12 ),leafValue( B1_DP3 "mcparamset" 13 ),leafValue( B1_DP3 "mcparamset" 14 ),leafValue( B1_DP3 "mcparamset" 15 ),leafValue( B1_DP3 "mcparamset" 16 ),leafValue( B1_DP3 "mcparamset" 17 ),leafValue( B1_DP3 "mcparamset" 18 ),leafValue( B1_DP3 "mcparamset" 19 ),leafValue( B1_DP3 "mcparamset" 20 ),leafValue( B2_DP3 "mcparamset" 1 ),leafValue( B2_DP3 "mcparamset" 2 ),leafValue( B2_DP3 "mcparamset" 3 ),leafValue( B2_DP3 "mcparamset" 4 ),leafValue( B2_DP3 "mcparamset" 5 ),leafValue( B2_DP3 "mcparamset" 6 ),leafValue( B2_DP3 "mcparamset" 7 ),leafValue( B2_DP3 "mcparamset" 8 ),leafValue( B2_DP3 "mcparamset" 9 ),leafValue( B2_DP3 "mcparamset" 10 ),leafValue( B2_DP3 "mcparamset" 11 ),leafValue( B2_DP3 "mcparamset" 12 ),leafValue( B2_DP3 "mcparamset" 13 ),leafValue( B2_DP3 "mcparamset" 14 ),leafValue( B2_DP3 "mcparamset" 15 ),leafValue( B2_DP3 "mcparamset" 16 ),leafValue( B2_DP3 "mcparamset" 17 ),leafValue( B2_DP3 "mcparamset" 18 ),leafValue( B2_DP3 "mcparamset" 19 ),leafValue( B2_DP3 "mcparamset" 20 )
345.00000E-3,13.197866,14.869157,16.502417,16.970717,15.312558,14.468747,16.017825,15.951840,14.000707,14.836349,16.767002,17.797902,15.528552,14.654016,16.313315,17.448510,15.384116,14.586944,16.295010,15.637118,13.249517,14.911804,16.450400,17.050438,15.342146,14.406318,15.875709,15.955005,13.942227,15.046668,16.987871,17.804771,15.350793,14.810191,16.311808,17.529787,15.409573,14.574323,16.197731,15.584348,13.323694,14.895540,16.404454,16.976372,15.410819,14.344606,16.194923,16.009284,13.920757,15.101627,16.844307,17.650640,15.653756,14.526182,16.315945,17.207827,15.559411,14.469451,16.263224,15.689179,13.246064,14.939996,16.605200,17.258505,15.301468,14.419132,15.997330,15.849051,14.009310,15.117988,16.837540,17.584731,15.412364,14.672613,16.161110,17.269141,15.384258,14.586032,16.135373,15.669832,13.265358,14.900207,16.566620,17.152506,15.280008,14.449727,16.059196,15.933766,13.858205,15.126573,16.891588,17.734110,15.466680,14.606217,16.239451,17.253738,15.372130,14.735677,16.221442,15.715548,13.147745,14.990626,16.493668,17.174922,15.287892,14.322127,16.114179,15.911254,13.851893,15.052690,17.044908,17.680902,15.475494,14.764160,16.315554,17.311095,15.461483,14.527947,16.040504,15.722757
350.00000E-3,15.532561,17.516181,19.436355,20.000298,18.050894,17.043568,18.868194,18.802996,16.483930,17.469983,19.762287,20.979649,18.299904,17.247769,19.225643,20.562974,18.126876,17.187474,19.201753,18.413385,15.593466,17.564616,19.379085,20.095855,18.084489,16.968125,18.702219,18.806573,16.416946,17.717525,20.024243,20.986669,18.088527,17.433344,19.223134,20.658050,18.156123,17.173402,19.086781,18.352255,15.680549,17.549303,19.322223,20.006120,18.167550,16.896724,19.079758,18.870992,16.390375,17.781796,19.856899,20.803907,18.446206,17.097830,19.227544,20.278329,18.333660,17.048906,19.164583,18.473931,15.589395,17.599308,19.560357,20.343174,18.035882,16.983842,18.845469,18.681129,16.495503,17.803487,19.845386,20.724236,18.161285,17.269492,19.044758,20.351092,18.127308,17.187371,19.012034,18.453942,15.612264,17.551161,19.516227,20.217798,18.011258,17.019739,18.916036,18.782778,16.317313,17.813071,19.909787,20.903631,18.223807,17.190487,19.137602,20.329717,18.112407,17.364698,19.114459,18.507647,15.473700,17.657893,19.429301,20.242695,18.021807,16.868234,18.984880,18.756862,16.308732,17.724792,20.091705,20.836577,18.236903,17.377984,19.226643,20.399926,18.217671,17.118424,18.901010,18.514976
355.00000E-3,18.279783,20.632949,22.885432,23.565709,21.279045,20.075940,22.221121,22.162007,19.406298,20.568064,23.288600,24.724156,21.564213,20.296404,22.654520,24.227093,21.356726,20.251693,22.623174,21.677487,18.351482,20.687376,22.823690,23.680372,21.316778,19.984568,22.027973,22.166003,19.330204,20.858833,23.599098,24.730908,21.312902,20.516845,22.650543,24.337952,21.390075,20.236264,22.487457,21.607052,18.453462,20.674756,22.753003,23.571382,21.417478,19.902427,22.474001,22.242416,19.297169,20.933749,23.404816,24.514339,21.734574,20.121005,22.655081,23.890830,21.600268,20.088536,22.579851,21.747589,18.346692,20.730242,23.035323,23.974279,21.258658,20.003918,22.196383,22.017620,19.421920,20.962633,23.386318,24.417820,21.398772,20.321687,22.439611,23.977137,21.357605,20.252935,22.397763,21.727996,18.373778,20.671846,22.985274,23.826146,21.230626,20.045928,22.276130,22.139740,19.212137,20.973164,23.463069,24.633552,21.470237,20.227687,22.549558,23.947488,21.339221,20.462905,22.519649,21.790938,18.210829,20.797649,22.881682,23.853309,21.244801,19.866113,22.362774,22.110114,19.200445,20.867621,23.678803,24.548590,21.489436,20.450165,22.653404,24.033734,21.463002,20.171132,22.268242,21.797930
360.00000E-3,21.506131,24.296117,26.931566,27.753698,25.078479,23.640768,26.157341,26.112505,22.838862,24.205234,27.432411,29.122539,25.402382,23.872031,26.684143,28.529388,25.153294,23.856136,26.642815,25.507139,21.590375,24.356448,26.866921,27.891452,25.120270,23.529837,25.933523,26.116898,22.753308,24.545982,27.800186,29.128366,25.103650,24.133794,26.678041,28.658157,25.190969,23.839597,26.482839,25.426508,21.709450,24.349170,26.778648,27.758716,25.242675,23.435998,26.459793,26.207488,22.712045,24.632967,27.575712,28.871930,25.599935,23.667490,26.682461,28.132658,25.439598,23.664393,26.592519,25.587873,21.584750,24.409642,27.113127,28.240626,25.050726,23.553756,26.131084,25.941567,22.860006,24.671569,27.547074,28.754721,25.204845,23.901337,26.428888,28.234970,25.154843,23.859502,26.375080,25.570335,21.616805,24.338632,27.056969,28.065827,25.019129,23.602767,26.220147,26.088487,22.613499,24.682895,27.638560,29.014532,25.285829,23.789507,26.558977,28.193884,25.132069,24.107904,26.520115,25.643898,21.425584,24.486661,26.933495,28.094746,25.038243,23.389456,26.329753,26.054914,22.597542,24.556631,27.894236,28.906308,25.313670,24.053350,26.679631,28.300227,25.277312,23.762497,26.224545,25.649838
365.00000E-3,25.286758,28.592511,31.666705,32.662254,29.542096,27.822992,30.767805,30.749519,26.861861,28.465588,32.291589,34.277733,29.906234,28.055508,31.409843,33.569671,29.606836,28.087838,31.355132,29.989634,25.385520,28.658199,31.601884,32.827963,29.587534,27.687967,30.509751,30.754248,26.766924,28.863824,32.726855,34.281633,29.551210,28.366209,31.400700,33.718568,29.648900,28.070669,31.166870,29.898055,25.524078,28.660186,31.491152,32.665845,29.736738,27.581683,31.129786,30.861574,26.715142,28.964360,32.468992,33.978254,30.134187,27.817853,31.404612,33.102292,29.942690,27.862999,31.297013,30.082017,25.378929,28.724498,31.887118,33.242666,29.504253,27.717657,30.740923,30.547327,26.890527,29.016093,32.425801,33.835556,29.670265,28.089308,31.106778,33.223494,29.609371,28.094446,31.037241,30.069063,25.416828,28.637913,31.824955,33.036699,29.469082,27.774627,30.838895,30.724356,26.601511,29.027918,32.534871,34.148952,29.761044,27.956285,31.260546,33.166642,29.581035,28.388019,31.209809,30.154763,25.192984,28.811755,31.677761,33.066433,29.494925,27.521722,30.978237,30.686724,26.579715,28.876759,32.837670,34.010402,29.801047,28.268988,31.400097,33.298272,29.751038,27.979485,30.863052,30.158568
370.00000E-3,29.705697,33.619667,37.193014,38.401084,34.775096,32.718161,36.154001,36.180213,31.565102,33.442986,37.975975,40.304986,35.179167,32.936550,36.938663,39.459438,34.818815,33.045042,36.865995,35.222031,29.821183,33.689478,37.132383,38.600699,34.823269,32.553358,35.858262,36.185156,31.461532,33.906945,38.490644,40.305481,34.757351,33.305156,36.925209,39.630689,34.865078,33.028060,36.644864,35.119023,29.981763,33.706414,36.992872,38.402104,35.005682,32.434260,36.587538,36.312216,31.396251,34.022514,38.196483,39.946919,35.440642,32.661601,36.928019,38.909765,35.211821,32.782071,36.799207,35.326930,29.813482,33.772469,37.461208,39.093045,34.723448,32.590367,36.127973,35.941296,31.604003,34.091978,38.132617,39.772728,34.897145,32.975308,36.578978,39.053233,34.822781,33.056477,36.488706,35.322301,29.858241,33.666591,37.393604,38.850758,34.684933,32.656305,36.233615,36.154959,31.266015,34.103790,38.262679,40.151404,34.997509,32.817104,36.760532,38.974724,34.787372,33.403035,36.694016,35.421766,29.596952,33.870285,37.218104,38.879739,34.719940,32.356645,36.411578,36.113361,31.236242,33.922694,38.620994,39.973212,35.054522,33.187446,36.921077,39.138282,34.985780,32.920330,36.288204,35.421846
375.00000E-3,34.855909,39.486083,43.622619,45.091727,40.895651,38.432735,42.427915,42.524351,37.048044,39.241013,44.607621,47.331986,41.336537,38.613465,43.389602,46.321880,40.902206,38.837674,43.292850,41.310960,34.990553,39.557780,43.572832,45.332535,40.944911,38.231021,42.091420,42.529300,36.937588,39.779577,45.215540,47.326944,40.835512,39.050512,43.370091,46.517591,40.952091,38.822173,43.033672,41.196481,35.175780,39.597766,43.396349,45.088521,41.168621,38.099354,42.947537,42.679596,36.854936,39.911571,44.882801,46.903640,41.634334,38.296956,43.370925,45.676675,41.360781,38.531014,43.216608,41.428954,34.981581,39.662103,43.949716,45.916810,40.825152,38.277340,42.405033,42.242362,37.100838,40.004934,44.789833,46.690429,40.999293,38.657599,42.962923,45.846347,40.908216,38.856155,42.845280,41.438051,35.034376,39.532252,43.877906,45.632340,40.783882,38.353275,42.515887,42.500700,36.706747,40.015925,44.944959,47.148790,41.108283,38.469493,43.177009,45.738209,40.863785,39.264725,43.089513,41.552987,34.730382,39.770304,43.668629,45.658122,40.831354,37.998472,42.744116,42.455547,36.666105,39.798797,45.368575,46.918691,41.188938,38.907731,43.360533,45.942202,41.094567,38.695043,42.615926,41.547059
380.00000E-3,40.838906,46.311050,51.076783,52.867149,48.035244,45.084004,49.711457,49.914370,43.419449,45.972459,52.320545,55.498440,48.505636,45.192352,50.893412,54.291323,47.981367,45.587457,50.764403,48.371874,40.995352,46.380981,51.047618,53.158082,48.082900,44.836412,49.331887,49.918993,43.305297,46.595004,53.037751,55.484844,47.910737,45.710190,50.865464,54.513299,48.033733,45.575402,50.461378,48.246558,41.207838,46.455381,50.823564,52.857372,48.358123,44.693358,50.334713,50.096602,43.200244,46.744604,52.665255,54.985749,48.841895,44.830124,50.863065,53.535646,48.514699,45.231074,50.678057,48.503076,40.984938,46.512628,51.476634,53.851100,47.939071,44.894610,49.695132,49.581977,43.491043,46.870094,52.531685,54.724078,48.102133,45.242194,50.387541,53.736106,47.990265,45.616063,50.233759,48.533529,41.047124,46.352912,51.402816,53.517826,47.896163,44.981537,49.807014,49.894908,43.033094,46.879043,52.716739,55.279883,48.217686,45.018605,50.639618,53.587626,47.934291,46.097027,50.524243,48.665668,40.694781,46.630292,51.153240,53.536744,47.960555,44.561792,50.100730,49.847081,42.977697,46.618518,53.217030,54.981772,48.330995,45.536685,50.847818,53.842940,48.201693,45.425578,49.973342,48.650519
385.00000E-3,47.763827,54.223916,59.684318,61.870637,56.338540,52.799459,58.135193,58.494876,50.796457,53.758160,61.259816,64.954918,56.825093,52.785630,59.591740,63.511919,56.191328,53.427539,59.419632,56.527590,47.944903,54.286469,59.689739,62.222642,56.380438,52.494721,57.711493,58.498672,50.683815,54.474313,62.104813,64.928568,56.119031,53.398688,59.552139,63.761415,56.244234,53.421811,59.066331,56.393056,48.187093,54.410999,59.404448,61.851020,56.720098,52.342822,58.883266,58.708331,50.549842,54.642319,61.693125,64.340969,57.200828,52.373894,59.544735,62.629061,56.809281,53.014999,59.322773,56.671407,47.932864,54.453168,60.174150,63.044146,56.207522,52.568100,58.130348,58.103647,50.893387,54.810832,61.503395,64.019009,56.342052,52.841359,58.992369,62.865617,56.204261,53.470493,58.790912,56.733802,48.005993,54.256170,60.101858,62.654651,56.164836,52.666913,58.236682,58.483419,50.363296,54.815958,61.724183,64.694140,56.460534,52.575710,59.288690,62.662509,56.133495,54.035729,59.136319,56.884825,47.599384,54.578281,59.804217,62.661392,56.252130,52.170810,58.615705,58.434470,50.287956,54.503145,62.314319,64.306965,56.618644,53.187488,59.522732,62.983051,56.441948,53.245508,58.497848,56.856008
390.00000E-3,55.745804,63.362582,69.579042,72.253779,65.962585,61.715447,67.836188,68.421399,59.302910,62.725017,71.579785,75.860734,66.443526,61.509704,69.635443,74.135386,65.676306,62.501429,69.405953,65.905943,55.954464,63.409498,69.638523,72.680257,65.992576,61.339418,67.369236,68.423634,59.199732,63.544294,72.573816,75.815882,65.605963,62.234776,69.579884,74.412774,65.726713,62.506145,68.995333,65.765182,56.228438,63.605599,69.274457,72.219842,66.413012,61.183135,68.734607,68.670821,59.028432,63.730902,72.126093,75.125228,66.858000,61.045408,69.565022,73.106835,66.389248,62.026039,69.298554,66.060766,55.940610,63.621184,70.180231,73.653368,65.784473,61.432214,67.849749,67.961683,59.433817,63.956754,71.859359,74.728185,65.864983,61.571275,68.925833,73.385613,65.694819,62.564465,68.661614,66.169538,56.026452,63.377579,70.114799,73.199426,65.744908,61.543608,67.940738,68.423413,58.822933,63.955539,72.122800,75.549570,65.980586,61.255837,69.273515,73.108996,65.605083,63.227484,69.072189,66.340967,55.559547,63.750197,69.759871,73.186478,65.863083,60.957892,68.430731,68.375830,58.720781,63.579718,72.817964,75.045970,66.199731,61.977314,69.533712,73.512461,65.959066,62.299033,68.335331,66.292430
395.00000E-3,64.903456,73.871062,80.896118,84.173334,77.075151,71.974916,78.954779,79.858155,69.066763,73.003019,83.441219,88.380670,77.517222,71.481652,81.181845,86.317571,76.587248,72.961066,80.876311,76.636366,65.142699,73.890579,81.036233,84.690647,77.084409,71.509888,78.448232,79.857792,68.984662,73.934338,84.608542,88.309569,76.524300,72.338186,81.104630,86.621918,76.630642,72.981979,80.400765,76.494227,65.449905,74.187100,80.571040,84.119035,77.606246,71.356299,80.034220,80.148816,68.765248,74.138854,84.131623,87.499301,77.967140,70.962938,81.078972,85.123054,77.405781,72.416083,80.758910,76.799192,65.126840,74.159953,81.635076,85.842345,76.833712,71.627510,78.996268,79.318973,69.242960,74.440679,83.760240,87.008740,76.824019,71.548688,80.342489,85.451088,76.613398,73.051881,79.995921,76.973696,65.227400,73.858059,81.584208,85.314933,76.801568,71.751851,79.057875,79.881297,68.542510,74.429640,84.074557,88.009422,76.928004,71.174423,80.749581,85.076258,76.499347,73.827951,80.483721,77.166751,64.694292,74.287229,81.161081,85.271913,76.961188,71.061200,79.691833,79.838839,68.404533,73.977932,84.892172,87.354095,77.229670,72.023970,81.034970,85.585041,76.903192,72.739135,79.637365,77.090391
400.00000E-3,75.355369,85.895903,93.767129,97.786784,89.851987,83.724070,91.630105,92.974637,80.216412,84.721133,97.007158,102.68031,90.206654,82.814782,94.390759,100.21367,89.078202,84.963809,93.985025,88.845285,75.628131,85.871720,94.023408,98.414838,89.828161,83.147969,91.091444,92.970239,80.171758,85.772168,98.375298,102.57268,89.030488,83.825166,94.284424,100.54222,89.108131,85.008802,93.436471,88.709044,75.969046,86.306940,93.428843,97.704099,90.477352,83.007631,92.927277,93.312331,79.890493,85.992664,97.881047,101.62409,90.685149,82.241562,94.243504,98.831276,90.012789,84.342736,93.858949,89.011260,75.610085,86.214912,94.676291,99.776458,89.525894,83.297281,91.712347,92.343577,80.452566,86.394450,97.368773,101.01716,89.375863,82.886463,93.399019,99.216588,89.114695,85.092619,92.944893,89.277011,75.727613,85.840165,94.650738,99.165808,89.507327,83.434440,91.725080,93.029411,79.653990,86.368879,97.743707,102.23750,89.455633,82.442855,93.874551,98.711589,88.969531,85.998861,93.524059,89.492432,75.122830,86.332052,94.146555,99.078655,89.722268,82.621230,92.545049,92.997520,79.468482,85.825878,98.703646,101.38531,89.867958,83.441429,94.182374,99.353831,89.427161,84.724669,92.557157,89.377579
405.00000E-3,87.215472,99.581325,108.31384,113.24644,104.47277,97.107767,105.99431,107.94082,92.875841,98.001948,112.43732,118.91985,104.67165,95.613059,109.41909,115.97197,103.30136,98.668178,108.88223,102.65025,87.524479,99.491395,108.73284,114.00931,104.39896,96.393249,105.43606,107.93044,92.891038,99.178341,114.03728,118.76227,103.27980,96.802874,109.27398,116.31952,103.30889,98.747852,108.25225,102.53026,87.898200,100.11537,107.97358,113.12489,105.20801,96.281217,107.55289,108.33183,92.530589,99.411245,113.54421,117.65439,105.16706,94.987687,109.21192,114.37838,104.36183,97.965157,108.74987,102.81215,87.504082,99.928719,109.43271,115.61705,104.03428,96.582892,106.13423,107.20395,93.190736,99.943487,112.84412,116.90299,103.67595,95.687979,108.24884,114.83006,103.35171,98.848373,107.65505,103.20220,87.641086,99.463079,109.44704,114.91275,104.03786,96.732044,106.07176,108.04135,92.286132,99.897157,113.29115,118.39199,103.71395,95.162888,108.80286,114.15408,103.16686,99.903823,108.34207,103.44003,86.959987,100.02376,108.84675,114.76279,104.32616,95.776122,107.13076,108.02766,92.038074,99.244543,114.41593,117.28585,104.27334,96.334198,109.12792,114.96482,103.68145,98.416197,107.24413,103.27288
410.00000E-3,100.58729,115.06301,124.64069,130.69208,121.11557,112.26359,122.16541,124.92083,107.15856,112.95511,129.88101,137.24637,121.06509,109.96446,126.41394,133.72614,119.40069,114.22820,125.70689,118.15287,100.93488,114.87818,125.28223,131.61866,120.96914,111.37705,121.60652,124.90188,107.26347,114.25953,131.74741,137.02162,119.42007,111.36267,126.21777,134.08434,119.37380,114.35655,124.98692,118.06329,101.33865,115.75534,124.31462,130.51819,121.97847,111.31404,124.03696,125.37190,106.80220,114.49917,131.28253,135.73117,121.55954,109.29249,126.12697,131.89696,120.59558,113.43851,125.57199,118.30055,100.91200,115.43495,126.01694,133.51404,120.52900,111.61779,122.38491,124.06268,107.57593,115.20010,130.33468,134.80103,119.87211,110.04048,125.03524,132.42521,119.46940,114.47709,124.26140,118.85694,101.07124,114.85627,126.09032,132.70517,120.56636,111.77718,122.21257,125.08578,106.55860,115.12494,130.86727,136.61769,119.84459,109.42001,125.67881,131.52690,119.23415,115.70271,125.07539,119.11628,100.31050,115.49147,125.37645,132.46809,120.95123,110.65567,123.57662,125.10068,106.22898,114.34110,132.18218,135.18627,120.59755,110.79063,126.01278,132.54927,119.80772,113.97045,123.83706,118.87926
415.00000E-3,115.55718,132.46056,142.82638,150.24216,139.94976,129.31458,140.23906,144.06514,123.16043,129.66966,149.46852,157.78466,139.52521,125.93353,145.50434,153.58619,137.50416,131.78632,144.57841,135.43081,115.94509,132.14315,143.76566,151.36683,139.70096,128.21513,139.70636,144.03426,123.39387,131.10076,151.63964,157.47100,137.58397,127.57257,145.24166,153.94283,137.42707,131.98148,143.75999,135.39027,116.37380,133.35509,142.53658,149.99897,140.96048,128.22881,142.48386,144.58334,122.80514,131.33890,151.24051,155.97241,139.99300,125.22448,145.11247,151.49644,138.84001,130.90697,144.44644,135.55060,115.91963,132.85052,144.51674,153.59706,139.16980,128.52025,140.56589,143.06864,123.70983,132.25567,149.96953,154.82225,138.09687,126.00763,143.88315,152.11261,137.59692,132.12598,142.87915,136.32577,116.10413,132.13188,144.67385,152.67242,139.25634,128.68691,140.23911,144.31867,122.57493,132.14144,150.60329,157.03688,137.97252,125.27605,144.62832,150.92835,137.29804,133.54459,143.84204,136.60451,115.26228,132.84666,143.82629,152.31718,139.76725,127.37407,141.98926,144.37597,122.14002,131.20115,152.13652,155.19237,138.97757,126.87541,144.95890,152.21476,137.93095,131.53332,142.45587,136.27572
420.00000E-3,132.18682,151.86889,162.91484,171.98409,161.12735,148.36086,160.27946,165.50126,140.95165,148.20572,171.30141,180.62689,160.16654,143.55352,166.79174,175.62853,157.71482,151.46499,165.58724,154.52917,132.61597,151.37122,164.24442,173.34723,160.73788,146.99937,159.80909,165.45417,141.36286,149.75705,173.81911,180.19748,157.88013,145.46925,166.44348,175.96676,157.56730,151.75005,164.66232,154.56149,133.06160,153.01943,162.69024,171.65059,162.30850,147.12563,162.96718,166.09392,140.61432,149.98241,173.53595,178.46300,160.57248,142.82168,166.26386,173.25324,159.19526,150.49545,165.46572,154.60341,132.58792,152.26700,164.98590,175.96546,160.09723,147.38499,160.74803,164.34784,141.66923,151.17217,171.84858,177.04377,158.45847,143.62166,164.88974,173.96979,157.83867,151.92310,163.59439,155.66142,132.80091,151.37614,165.25760,174.91383,160.25295,147.55447,160.21095,165.87408,140.41448,151.00616,172.60149,179.73907,158.19704,142.76141,165.74947,172.42219,157.46006,153.55924,164.73113,155.95598,131.87894,152.17450,164.25351,174.40160,160.92683,146.02161,162.44505,165.99170,139.84521,149.88032,174.38406,177.37512,159.52663,144.62167,166.05958,174.03533,158.15052,151.23154,163.19234,155.50866
425.00000E-3,150.50548,173.34892,184.90649,195.96395,184.77296,169.47047,182.31019,189.32346,160.56839,168.58589,195.44210,205.82190,183.06996,162.81888,190.33983,199.88574,180.10106,173.35725,188.78487,175.45216,150.97573,172.61208,186.73761,197.61235,184.19451,167.78872,181.94888,189.25481,161.21832,170.24487,198.35149,205.24420,180.38333,165.05030,189.88289,200.18348,179.85786,173.76099,187.74616,175.58679,151.42688,174.82032,184.78357,195.51468,186.14973,168.07291,185.52014,189.99800,160.27138,170.44273,198.24917,203.24420,183.36780,162.08389,189.63815,197.20068,181.72596,172.30015,188.68370,175.45872,150.94513,173.74136,187.43502,200.67763,183.42273,168.27413,182.96224,187.99317,161.49758,171.97338,196.03219,201.49854,181.03107,162.87588,188.11443,198.03111,180.26459,173.96795,186.45431,176.87610,151.19005,172.64016,187.85896,199.48811,183.67299,168.44023,182.14651,189.85383,160.12403,171.74020,196.92467,204.77038,180.58210,161.86765,189.10242,196.02788,179.78697,175.84761,187.79290,177.18119,150.19197,173.52469,186.67279,198.77140,184.55536,166.65579,184.98055,190.05445,159.38537,170.39572,198.99029,201.76053,182.32436,164.02338,189.36945,198.04140,180.53046,173.16323,186.10024,176.58336
430.00000E-3,170.50257,196.91825,208.75052,222.17660,210.97299,192.67005,206.30567,215.58202,182.00471,190.78743,221.90348,233.36478,208.27254,183.67871,216.16438,226.33700,204.68686,197.51675,214.17415,198.15553,171.01249,195.87114,211.21367,224.16354,210.14588,190.60024,206.11160,215.48529,182.96694,192.53444,225.25247,232.60025,205.12458,186.26750,215.57135,226.56641,204.31716,198.07432,213.01546,198.42788,171.45402,198.78726,208.77376,221.58141,212.57305,191.09811,210.12667,216.34573,181.77644,192.68639,225.41218,230.30358,208.40351,182.96604,215.24395,223.31947,206.45142,196.37866,214.10585,198.06769,170.97949,197.28674,211.82331,227.74058,209.21791,191.20808,207.19059,214.05372,183.19663,194.63685,222.53083,228.16565,205.84478,183.71822,213.56890,224.27816,204.90032,198.32131,211.45767,199.93366,171.25991,195.93097,212.44424,226.40293,209.59412,191.36259,206.01476,216.31656,181.70934,194.31826,223.58574,232.12318,205.14659,182.54117,214.69940,221.71160,204.30097,200.47160,213.02905,200.24206,170.19334,196.90240,211.04783,225.42493,210.74021,189.29233,209.58336,216.62828,180.75998,192.71824,225.97052,228.32016,207.40660,185.02886,214.89456,224.21034,205.08973,197.38790,211.18564,199.45643
